time,low,high,open,close,volume
2022-06-01 15:30:00,30710.57,30919.02,30891.6,30755.8,549.93996867
2022-06-01 15:45:00,30695.0,30848.21,30755.79,30715.32,498.69828487
2022-06-01 16:00:00,30528.0,30718.94,30715.33,30602.19,653.66994683
2022-06-01 16:15:00,30366.87,30634.6,30601.93,30375.23,715.8127458
2022-06-01 16:30:00,30316.29,30462.0,30373.23,30402.63,821.58875527
2022-06-01 16:45:00,30275.0,30447.5,30402.63,30396.82,1258.90548608
2022-06-01 17:00:00,30055.0,30403.3,30396.82,30242.42,1131.20119373
2022-06-01 17:15:00,29852.5,30260.61,30241.19,30027.93,1406.93898031
2022-06-01 17:30:00,29959.41,30215.79,30027.64,30118.99,463.15184921
2022-06-01 17:45:00,30040.08,30201.44,30116.62,30152.34,316.20436649
2022-06-01 18:00:00,30104.33,30235.26,30152.34,30177.71,323.77468055
2022-06-01 18:15:00,30099.38,30378.51,30177.71,30313.8,360.22433348
2022-06-01 18:30:00,30184.1,30408.49,30313.8,30389.42,389.68055003
2022-06-01 18:45:00,30081.55,30400.5,30389.43,30130.15,326.82643605
2022-06-01 19:00:00,29976.01,30199.07,30130.15,30174.11,500.43558048
2022-06-01 19:15:00,30090.57,30275.6,30174.11,30131.86,330.29874042
2022-06-01 19:30:00,30103.68,30322.16,30131.41,30282.99,690.43181506
2022-06-01 19:45:00,30030.33,30290.99,30282.99,30091.42,596.4845088
2022-06-01 20:00:00,29949.13,30131.9,30092.32,30003.43,367.95006728
2022-06-01 20:15:00,29500.0,30028.85,30003.16,29588.62,672.17271828
2022-06-01 20:30:00,29308.01,29610.64,29593.43,29494.33,559.03476572
2022-06-01 20:45:00,29472.4,29720.0,29494.32,29623.45,451.63020402
2022-06-01 21:00:00,29581.84,29758.27,29619.69,29724.6,213.80135724
2022-06-01 21:15:00,29639.21,29730.0,29723.67,29691.86,125.92755546
2022-06-01 21:30:00,29612.76,29702.05,29692.05,29696.32,81.55221176
